x1,x2,x3,x4,x5,x6
163,135,1,163,2,3
75,335,1,75,2,3
76,413,1,76,2,3
63,346,1,63,2,3
167,62,1,167,2,3
104,93,1,104,2,3
104,64,1,104,2,3
103,391,1,103,2,3
70,49,1,70,2,3
185,460,1,185,2,3
184,194,1,184,2,3
74,426,1,74,2,3
251,162,1,251,2,3
215,223,1,215,2,3
170,307,1,170,2,3
158,449,1,158,2,3
182,407,1,182,2,3
93,159,1,93,2,3
178,218,1,178,2,3
177,341,1,177,2,3
177,368,1,177,2,3
158,201,1,158,2,3
157,165,1,157,2,3
118,208,1,118,2,3
56,258,1,56,2,3
57,306,1,57,2,3
230,252,1,230,2,3
230,387,1,230,2,3
110,407,1,110,2,3
49,179,1,49,2,3
49,385,1,49,2,3
49,399,1,49,2,3
49,317,1,49,2,3
127,97,1,127,2,3
161,412,1,161,2,3
160,314,1,160,2,3
130,417,1,130,2,3
129,49,1,129,2,3
150,214,1,150,2,3
229,304,1,229,2,3
222,211,1,222,2,3
195,144,1,195,2,3
206,348,1,206,2,3
180,150,1,180,2,3
233,225,1,233,2,3
151,389,1,151,2,3
208,387,1,208,2,3
208,119,1,208,2,3
225,266,1,225,2,3
136,187,1,136,2,3
136,293,1,136,2,3
134,331,1,134,2,3
134,388,1,134,2,3
112,177,1,112,2,3
175,256,1,175,2,3
203,187,1,203,2,3
119,206,1,119,2,3
120,129,1,120,2,3
200,320,1,200,2,3
201,256,1,201,2,3
235,305,1,235,2,3
227,253,1,227,2,3
81,293,1,81,2,3
82,161,1,82,2,3
54,85,1,54,2,3
55,130,1,55,2,3
108,346,1,108,2,3
107,374,1,107,2,3
107,227,1,107,2,3
132,404,1,132,2,3
133,84,1,133,2,3
86,183,1,86,2,3
210,77,1,210,2,3
211,140,1,211,2,3
52,278,1,52,2,3
52,117,1,52,2,3
52,415,1,52,2,3
193,145,1,193,2,3
192,348,1,192,2,3
192,314,1,192,2,3
194,64,1,194,2,3
252,227,1,252,2,3
259,281,1,259,2,3
275,330,1,275,2,3
254,253,1,254,2,3
253,312,1,253,2,3
263,264,1,263,2,3
270,435,1,270,2,3
268,229,1,268,2,3
313,336,1,313,2,3
354,58,1,354,2,3
330,86,1,330,2,3
330,97,1,330,2,3
284,348,1,284,2,3
328,173,1,328,2,3
301,319,1,301,2,3
301,378,1,301,2,3
282,264,1,282,2,3
309,159,1,309,2,3
305,366,1,305,2,3
305,377,1,305,2,3
277,290,1,277,2,3
292,122,1,292,2,3
355,492,1,355,2,3
375,366,1,375,2,3
333,410,1,333,2,3
333,125,1,333,2,3
358,91,1,358,2,3
307,390,1,307,2,3
351,205,1,351,2,3
351,408,1,351,2,3
303,104,1,303,2,3
336,424,1,336,2,3
287,231,1,287,2,3
297,152,1,297,2,3
384,87,1,384,2,3
318,112,1,318,2,3
319,120,1,319,2,3
361,392,1,361,2,3
400,102,1,400,2,3
400,374,1,400,2,3
295,294,1,295,2,3
299,225,1,299,2,3
298,396,1,298,2,3
360,271,1,360,2,3
339,263,1,339,2,3
339,492,1,339,2,3
390,198,1,390,2,3
389,211,1,389,2,3
411,319,1,411,2,3
393,178,1,393,2,3
372,302,1,372,2,3
