x1,x2,x3,x4,x5,x6
4,231,4,1,1,2
4,1884,4,1,1,2
4,1898,4,1,1,2
4,1489,4,1,1,2
4,1867,4,1,1,2
62,2100,62,1,1,2
56,46,56,1,1,2
56,199,56,1,1,2
58,1980,58,1,1,2
35,1402,35,1,1,2
29,1379,29,1,1,2
30,2144,30,1,1,2
30,1936,30,1,1,2
51,1994,51,1,1,2
80,147,80,1,1,2
38,59,38,1,1,2
38,68,38,1,1,2
38,173,38,1,1,2
53,186,53,1,1,2
5,2156,5,1,1,2
70,1606,70,1,1,2
60,252,60,1,1,2
70,244,70,1,1,2
29,161,29,1,1,2
28,1624,28,1,1,2
24,1516,24,1,1,2
46,1518,46,1,1,2
36,279,36,1,1,2
35,2006,35,1,1,2
43,1846,43,1,1,2
27,235,27,1,1,2
34,1518,34,1,1,2
34,1433,34,1,1,2
34,1439,34,1,1,2
5,274,5,1,1,2
4,1978,4,1,1,2
69,150,69,1,1,2
30,216,30,1,1,2
30,302,30,1,1,2
31,1902,31,1,1,2
13,265,13,1,1,2
26,146,26,1,1,2
26,87,26,1,1,2
26,109,26,1,1,2
72,17,72,1,1,2
72,121,72,1,1,2
76,4,76,1,1,2
58,1237,58,1,1,2
65,53,65,1,1,2
65,101,65,1,1,2
28,100,28,1,1,2
80,1520,80,1,1,2
31,2157,31,1,1,2
31,2110,31,1,1,2
65,1982,65,1,1,2
58,107,58,1,1,2
77,1581,77,1,1,2
38,1376,38,1,1,2
73,112,73,1,1,2
88,2157,88,1,1,2
18,151,18,1,1,2
12,34,12,1,1,2
47,279,47,1,1,2
46,2091,46,1,1,2
46,1911,46,1,1,2
76,204,76,1,1,2
89,1536,89,1,1,2
28,23,28,1,1,2
49,231,49,1,1,2
39,2131,39,1,1,2
87,2118,87,1,1,2
90,149,90,1,1,2
67,78,67,1,1,2
76,1964,76,1,1,2
78,215,78,1,1,2
78,261,78,1,1,2
77,1920,77,1,1,2
33,208,33,1,1,2
42,1625,42,1,1,2
42,110,42,1,1,2
16,1416,16,1,1,2
16,1426,16,1,1,2
16,1440,16,1,1,2
13,145,13,1,1,2
33,1481,33,1,1,2
60,2124,60,1,1,2
61,12,61,1,1,2
45,81,45,1,1,2
44,1855,44,1,1,2
67,1580,67,1,1,2
11,193,11,1,1,2
16,13,16,1,1,2
16,93,16,1,1,2
101,1290,101,1,1,2
38,2090,38,1,1,2
86,1798,86,1,1,2
96,2105,96,1,1,2
96,2086,96,1,1,2
48,65,48,1,1,2
48,241,48,1,1,2
15,170,15,1,1,2
61,1519,61,1,1,2
85,170,85,1,1,2
81,93,81,1,1,2
87,212,87,1,1,2
91,2094,91,1,1,2
25,99,25,1,1,2
23,210,23,1,1,2
95,2128,95,1,1,2
95,2148,95,1,1,2
49,2099,49,1,1,2
95,1464,95,1,1,2
95,1823,95,1,1,2
61,1872,61,1,1,2
101,2095,101,1,1,2
15,1467,15,1,1,2
19,95,19,1,1,2
18,1850,18,1,1,2
102,54,102,1,1,2
102,1261,102,1,1,2
102,2157,102,1,1,2
103,65,103,1,1,2
104,1619,104,1,1,2
107,1557,107,1,1,2
111,266,111,1,1,2
109,1609,109,1,1,2
104,2133,104,1,1,2
104,2121,104,1,1,2
114,1715,114,1,1,2
115,1261,115,1,1,2
120,243,120,1,1,2
112,1683,112,1,1,2
123,2114,123,1,1,2
120,1277,120,1,1,2
122,2157,122,1,1,2
