x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
0.00101563,0.00112993,0.00123559,0.00053655,0.00213566,0.00165946,0.00180662,0.00000000,0.00208106,0.00175783,0.00156542,0.00241602,0.00068435,0.00142158,0.00161072,0.00000000,0.00190523,0.00188403,0.00171241,0.00078107,0.00263711,0.00183722,0.00211152,0.00000000,0.00233433,0.00209952,0.00179224,0.00070015,0.00217435,0.00123226,0.00116731,0.00000000,469.00000000,1631.00000000,1.00000000,2.00000000,469.00000000,0.52376294
0.00117967,0.00098790,0.00075298,0.00028570,0.00090293,0.00075759,0.00095223,0.00000000,0.00143497,0.00124222,0.00135364,0.00185319,0.00049661,0.00154593,0.00161093,0.00000000,0.00187824,0.00146533,0.00143873,0.00052152,0.00225188,0.00184730,0.00198358,0.00000000,0.00271566,0.00208130,0.00202639,0.00064898,0.00246432,0.00152527,0.00135809,0.00000000,668.00000000,1651.00000000,1.00000000,2.00000000,668.00000000,0.59663099
0.00122198,0.00120784,0.00119108,0.00056257,0.00185517,0.00137728,0.00159107,0.00000000,0.00158507,0.00137936,0.00115102,0.00139161,0.00035433,0.00070082,0.00061330,0.00000000,0.00067921,0.00098150,0.00118487,0.00060502,0.00212474,0.00151704,0.00148101,0.00000000,0.00202436,0.00135001,0.00137508,0.00040405,0.00178722,0.00117261,0.00113340,0.00000000,635.00000000,1668.00000000,1.00000000,2.00000000,635.00000000,0.55498439
0.00142923,0.00103004,0.00087268,0.00040201,0.00130322,0.00091847,0.00103948,0.00000000,0.00159116,0.00144140,0.00157442,0.00223045,0.00058918,0.00168097,0.00173446,0.00000000,0.00167307,0.00141217,0.00114192,0.00053188,0.00179417,0.00138029,0.00169435,0.00000000,0.00201736,0.00161099,0.00154781,0.00038887,0.00201741,0.00152997,0.00150276,0.00000000,626.00000000,1618.00000000,1.00000000,2.00000000,626.00000000,0.53218460
0.00158330,0.00136102,0.00135460,0.00064267,0.00230603,0.00170781,0.00165903,0.00000000,0.00221894,0.00135280,0.00148869,0.00193709,0.00045621,0.00146618,0.00140414,0.00000000,0.00136642,0.00123870,0.00118632,0.00061344,0.00183059,0.00116527,0.00101326,0.00000000,0.00138826,0.00097776,0.00127930,0.00037743,0.00204004,0.00157895,0.00157806,0.00000000,686.00000000,1557.00000000,1.00000000,2.00000000,686.00000000,0.52631670
0.00167417,0.00167081,0.00176922,0.00074408,0.00251626,0.00150233,0.00108259,0.00000000,0.00099329,0.00029531,0.00055227,0.00111848,0.00042168,0.00126074,0.00143043,0.00000000,0.00128852,0.00099429,0.00090229,0.00034289,0.00139900,0.00112495,0.00127283,0.00000000,0.00158846,0.00128052,0.00112533,0.00038775,0.00144834,0.00097900,0.00106806,0.00000000,353.00000000,1591.00000000,1.00000000,2.00000000,353.00000000,0.58764231
0.00178842,0.00121231,0.00111007,0.00045085,0.00173117,0.00126829,0.00132480,0.00000000,0.00132963,0.00128693,0.00123551,0.00168075,0.00038610,0.00140403,0.00147968,0.00000000,0.00196151,0.00155729,0.00156515,0.00059964,0.00218253,0.00122033,0.00095132,0.00000000,0.00130049,0.00101461,0.00133597,0.00054457,0.00237403,0.00174179,0.00169197,0.00000000,94.00000000,1612.00000000,1.00000000,2.00000000,94.00000000,0.53301400
0.00132848,0.00126455,0.00114433,0.00042297,0.00152419,0.00116298,0.00129911,0.00000000,0.00174343,0.00159133,0.00162434,0.00213795,0.00059372,0.00124427,0.00087786,0.00000000,0.00057179,0.00055011,0.00090258,0.00046827,0.00182987,0.00140226,0.00139589,0.00000000,0.00177082,0.00135846,0.00127633,0.00049822,0.00169449,0.00107772,0.00116360,0.00000000,468.00000000,1646.00000000,1.00000000,2.00000000,468.00000000,0.55022186
0.00149293,0.00136211,0.00111057,0.00057514,0.00167651,0.00108380,0.00129169,0.00000000,0.00144461,0.00138224,0.00138677,0.00178119,0.00044858,0.00160391,0.00175818,0.00000000,0.00196934,0.00181681,0.00175016,0.00078447,0.00265781,0.00171257,0.00171169,0.00000000,0.00173790,0.00142532,0.00130848,0.00048023,0.00179889,0.00134149,0.00147383,0.00000000,470.00000000,1611.00000000,1.00000000,2.00000000,470.00000000,0.51153386
0.00133369,0.00094778,0.00075886,0.00040950,0.00148141,0.00119993,0.00160326,0.00000000,0.00205207,0.00187476,0.00190522,0.00245747,0.00066035,0.00190220,0.00179083,0.00000000,0.00158060,0.00124000,0.00118220,0.00058610,0.00200666,0.00132707,0.00131327,0.00000000,0.00149195,0.00120418,0.00129231,0.00041704,0.00185772,0.00139660,0.00137226,0.00000000,577.00000000,1489.00000000,1.00000000,2.00000000,577.00000000,0.54190344
