x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
0.00000000,0.00012479,0.00011173,0.00086791,0.00135528,0.00111500,0.00084535,0.00031099,0.00019503,0.00001386,0.00003668,0.00010836,0.00007705,0.00000000,0.00005022,0.00007776,0.00012952,0.00020420,0.00040731,0.00110434,0.00085241,0.00147182,0.00169421,0.00045714,0.00018376,0.00005091,0.00000000,0.00005415,0.00002393,0.00000880,0.00003954,0.00002927
0.00301620,0.00276716,0.00119960,0.00076619,0.00081772,0.00046970,0.00011372,0.00014322,0.00016353,0.00007552,0.00020100,0.00033118,0.00022209,0.00018509,0.00013251,0.00027961,0.00031089,0.00050685,0.00014536,0.00001691,0.00008042,0.00000656,0.00001700,0.00007104,0.00000000,0.00002702,0.00031970,0.00054221,0.00051741,0.00080652,0.00084070,0.00127797
0.00007736,0.00008989,0.00031815,0.00040405,0.00158322,0.00041208,0.00007596,0.00001660,0.00001321,0.00001534,0.00000000,0.00000000,0.00000145,0.00000947,0.00000000,0.00000734,0.00001938,0.00011567,0.00064960,0.00259489,0.00210935,0.00110610,0.00073166,0.00023210,0.00009273,0.00006337,0.00002382,0.00001505,0.00011870,0.00008216,0.00001104,0.00000486
0.00000000,0.00000869,0.00001167,0.00002648,0.00078674,0.00306950,0.00119239,0.00010032,0.00002346,0.00000000,0.00001533,0.00000000,0.00000285,0.00000000,0.00000274,0.00001651,0.00000798,0.00000913,0.00001560,0.00009637,0.00027099,0.00232410,0.00119364,0.00027931,0.00017540,0.00010680,0.00006960,0.00013600,0.00005355,0.00002553,0.00000000,0.00000000
0.00218405,0.00295159,0.00187875,0.00010828,0.00013945,0.00000000,0.00003058,0.00000000,0.00001969,0.00000957,0.00004310,0.00017337,0.00068520,0.00105465,0.00090671,0.00251701,0.00305452,0.00179564,0.00012951,0.00002813,0.00002175,0.00000000,0.00005021,0.00000000,0.00005767,0.00000000,0.00000000,0.00025980,0.00152289,0.00131853,0.00105734,0.00122348
0.00039616,0.00090189,0.00055911,0.00086506,0.00097473,0.00107094,0.00015343,0.00014288,0.00004056,0.00013224,0.00029409,0.00022918,0.00011536,0.00012323,0.00005899,0.00012830,0.00013252,0.00020071,0.00037983,0.00107345,0.00294031,0.00213292,0.00079477,0.00013087,0.00006241,0.00005244,0.00004834,0.00005981,0.00005266,0.00011588,0.00010298,0.00027740
0.00002460,0.00002624,0.00002159,0.00001901,0.00071698,0.00097402,0.00071885,0.00109577,0.00058588,0.00011283,0.00020786,0.00019273,0.00019130,0.00019196,0.00021142,0.00017492,0.00042918,0.00017842,0.00014653,0.00017880,0.00017881,0.00017638,0.00023915,0.00011230,0.00012352,0.00019797,0.00025408,0.00014982,0.00006807,0.00007403,0.00000389,0.00010059
0.00011583,0.00042107,0.00039406,0.00066130,0.00166597,0.00090360,0.00040004,0.00002753,0.00003532,0.00001299,0.00000000,0.00002655,0.00010029,0.00011097,0.00009081,0.00006551,0.00005733,0.00007968,0.00014198,0.00043387,0.00200560,0.00041603,0.00098217,0.00040068,0.00025460,0.00022650,0.00032690,0.00018383,0.00007992,0.00009484,0.00005305,0.00013427
0.00025876,0.00018771,0.00017026,0.00029143,0.00036275,0.00045447,0.00043921,0.00015979,0.00003870,0.00009898,0.00003504,0.00005230,0.00003560,0.00005015,0.00000513,0.00026355,0.00018909,0.00043183,0.00039903,0.00047438,0.00127815,0.00039824,0.00017882,0.00009215,0.00003405,0.00005625,0.00007627,0.00021161,0.00020093,0.00045035,0.00082303,0.00048458
0.00006441,0.00010209,0.00017765,0.00040902,0.00026162,0.00027359,0.00031927,0.00009997,0.00015439,0.00014312,0.00007604,0.00008146,0.00005409,0.00001399,0.00005849,0.00007600,0.00010714,0.00009478,0.00010210,0.00011746,0.00018008,0.00006804,0.00009333,0.00013995,0.00019812,0.00014270,0.00012713,0.00012280,0.00008451,0.00005708,0.00010318,0.00009799
